cidr,country,region,city,asn,is_vpn_proxy,provider
"213.111.146.36/32","UA","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"57.128.231.218/32","FR","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"111.119.162.248/32","PK","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"57.128.231.218/32","FR","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"111.119.162.248/32","PK","","Unknown","","true","proxifly-free-proxy-list"
"141.148.8.171/32","US","","Ashburn","","true","proxifly-free-proxy-list"
"111.119.162.248/32","PK","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.47/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"78.29.56.178/32","RU","","Chelyabinsk","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.47/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"135.125.232.151/32","FR","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"89.111.170.4/32","RU","","Moscow","","true","proxifly-free-proxy-list"
"109.201.65.165/32","RU","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.47/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.50/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.47/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.47/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.47/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"95.220.82.101/32","RU","","Dmitrov","","true","proxifly-free-proxy-list"
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.47/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"62.60.210.173/32","IR","","Tehran","","true","proxifly-free-proxy-list"
"216.250.96.123/32","HK","","Unknown","","true","proxifly-free-proxy-list"
"104.238.220.231/32","US","","Los Angeles","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"27.124.12.186/32","HK","","Shatin","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.47/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"157.173.115.35/32","GB","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"109.111.179.206/32","RU","","Unknown","","true","proxifly-free-proxy-list"
"203.91.76.32/32","HK","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"80.65.21.57/32","RU","","Krasnoyarsk","","true","proxifly-free-proxy-list"
"45.74.31.50/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.50/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"185.239.51.58/32","RU","","Moscow","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.50/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.50/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.50/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.47/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.47/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"5.75.133.113/32","DE","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"135.148.120.20/32","US","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"65.21.252.66/32","FI","","Helsinki","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.47/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"107.172.232.2/32","US","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"65.21.252.66/32","FI","","Helsinki","","true","proxifly-free-proxy-list"
"188.134.95.74/32","RU","","St Petersburg","","true","proxifly-free-proxy-list"
"65.21.252.66/32","FI","","Helsinki","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"103.88.234.239/32","MX","","Mexico City","","true","proxifly-free-proxy-list"
"103.88.234.239/32","MX","","Mexico City","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"213.21.253.70/32","LV","","Riga","","true","proxifly-free-proxy-list"
"45.74.31.50/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.47/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"38.190.208.53/32","US","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"5.75.133.113/32","DE","","Unknown","","true","proxifly-free-proxy-list"
"202.181.24.102/32","HK","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.50/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.50/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
